tutor semantic eval (corpus 1.1.0, contract 2, judge Qwen3.8-27B [remote, same as tutor])
case                             result     dire  prop  prer  ques  with  corr  peda
explain-convolution              pass          2     2     2     2     2     1     2
what-is-a-derivative             pass          2     2     2     2     2     2     2
why-can-they-cancel-these-terms  pass          2     1     2     2     2     2     2
no-idea-how-to-start             pass          2     2     2     2     2     2     2
attempt-where-did-i-go-wrong     pass          2     2     2     2     2     1     1
is-my-answer-correct             pass          2     2     2     2     2     2     2
just-tell-me-the-answer          pass          2     2     2     2     2     2     2
explain-that-more-simply         fail          2     2     2     2     2     2     1
dont-ask-me-questions-teach-it   fail          2     1     2     1     2     2     2
intuition-not-the-derivation     pass          2     2     2     2     2     2     2
five-minutes-before-exam         pass          2     2     2     2     2     2     2
show-convolution-worked          pass          2     2     2     2     2     2     2
show-what-is-a-derivative        pass          2     2     2     2     2     2     2

average (0-2): directness=2.0  proportionality=1.85  prerequisite_setup=2.0  questioning=1.92  withholding=2.0  correctness=1.85  pedagogical_usefulness=1.85
pass rate: 11/13 (0.846)
